SEXO                            ,EDAD                            ,MES                             ,ESTATURA                        ,PESO                            ,POLITICA                        ,DIGITO                          ,RESIDENCIA                      ,TRANSPORTE                      ,TIEMPO                          ,PROBLEMA                        ,Col_12                          ,Col_13                          ,Col_14                          ,Col_15                          ,Col_16                          ,Col_17                          ,Col_18                          ,Col_19                          ,Col_20                          
chicos               ,20            ,1             ,183           ,76            ,izquierda            ,5             ,piso                 ,a pie                ,15            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,185           ,72            ,centro               ,8             ,otra                 ,coche                ,10            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,10            ,165           ,75            ,pasan                ,8             ,familia              ,t publico            ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,4             ,174           ,70            ,pasan                ,6             ,residencia           ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,7             ,175           ,70            ,pasan                ,7             ,piso                 ,a pie                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,175           ,70            ,derecha              ,3             ,familia              ,compańero            ,60            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,7             ,174           ,65            ,pasan                ,7             ,otra                 ,moto/bici            ,5             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,23            ,10            ,159           ,54            ,centro               ,5             ,familia              ,coche                ,65            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,3             ,177           ,72            ,pasan                ,8             ,piso                 ,a pie                ,15            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,180           ,73            ,izquierda            ,5             ,piso                 ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,3             ,175           ,68            ,izquierda            ,7             ,piso                 ,a pie                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,22            ,6             ,162           ,48            ,izquierda            ,3             ,familia              ,t publico            ,75            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,4             ,160           ,65            ,pasan                ,7             ,familia              ,coche                ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,185           ,74            ,pasan                ,4             ,familia              ,compańero            ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,9             ,182           ,72            ,pasan                ,9             ,residencia           ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,10            ,198           ,88            ,derecha              ,4             ,familia              ,coche                ,40            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,6             ,164           ,54            ,                     ,3             ,familia              ,t publico            ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,5             ,162           ,55            ,derecha              ,7             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,7             ,164           ,53            ,                     ,4             ,familia              ,a pie                ,10            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,11            ,185           ,70            ,                     ,5             ,pension              ,t publico            ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,3             ,165           ,57            ,derecha              ,7             ,familia              ,compańero            ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,1             ,179           ,67            ,izquierda            ,7             ,familia              ,moto/bici            ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,6             ,175           ,69            ,derecha              ,7             ,residencia           ,a pie                ,12            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,1             ,168           ,61            ,pasan                ,7             ,piso                 ,a pie                ,7             ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,2             ,162           ,60            ,derecha              ,8             ,otra                 ,coche                ,25            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,2             ,169           ,57            ,pasan                ,8             ,piso                 ,a pie                ,20            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,6             ,170           ,63            ,izquierda            ,7             ,familia              ,coche                ,65            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,12            ,165           ,65            ,derecha              ,6             ,familia              ,moto/bici            ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,12            ,185           ,75            ,derecha              ,5             ,familia              ,coche                ,35            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,8             ,162           ,54            ,izquierda            ,3             ,familia              ,coche                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,1             ,161           ,48            ,izquierda            ,5             ,familia              ,t publico            ,60            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,9             ,176           ,71            ,pasan                ,6             ,familia              ,t publico            ,70            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,174           ,71            ,derecha              ,8             ,familia              ,a pie                ,10            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,5             ,160           ,48            ,centro               ,7             ,familia              ,t publico            ,45            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,6             ,174           ,80            ,derecha              ,1             ,piso                 ,coche                ,12            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,4             ,155           ,48            ,centro               ,3             ,familia              ,coche                ,30            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,11            ,163           ,54            ,izquierda            ,7             ,piso                 ,moto/bici            ,10            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,10            ,180           ,70            ,derecha              ,7             ,otra                 ,a pie                ,15            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,4             ,156           ,47            ,izquierda            ,9             ,residencia           ,a pie                ,25            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,9             ,171           ,71            ,izquierda            ,3             ,residencia           ,a pie                ,13            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,10            ,170           ,80            ,derecha              ,7             ,familia              ,coche                ,15            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,8             ,185           ,81            ,pasan                ,5             ,familia              ,t publico            ,15            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,9             ,179           ,77            ,pasan                ,8             ,piso                 ,coche                ,7             ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,175           ,84            ,centro               ,7             ,familia              ,t publico            ,40            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,8             ,163           ,57            ,centro               ,7             ,familia              ,compańero            ,25            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,7             ,165           ,53            ,pasan                ,5             ,familia              ,coche                ,50            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,23            ,10            ,168           ,51            ,pasan                ,3             ,residencia           ,t publico            ,20            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,32            ,10            ,181           ,67            ,centro               ,7             ,piso                 ,a pie                ,35            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,22            ,4             ,162           ,50            ,pasan                ,3             ,piso                 ,a pie                ,20            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,22            ,4             ,172           ,59            ,centro               ,7             ,piso                 ,coche                ,45            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,24            ,12            ,172           ,75            ,derecha              ,3             ,piso                 ,a pie                ,18            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,4             ,182           ,74            ,derecha              ,8             ,familia              ,coche                ,12            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,26            ,2             ,175           ,63            ,centro               ,7             ,piso                 ,a pie                ,16            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,8             ,165           ,62            ,izquierda            ,5             ,familia              ,coche                ,40            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,4             ,160           ,55            ,izquierda            ,4             ,piso                 ,t publico            ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,1             ,175           ,76            ,pasan                ,6             ,familia              ,moto/bici            ,12            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,1             ,180           ,72            ,centro               ,3             ,familia              ,moto/bici            ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,1             ,171           ,75            ,centro               ,8             ,piso                 ,a pie                ,15            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,7             ,172           ,66            ,izquierda            ,3             ,piso                 ,a pie                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,179           ,69            ,centro               ,6             ,piso                 ,a pie                ,25            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,10            ,190           ,70            ,izquierda            ,6             ,familia              ,t publico            ,90            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,173           ,70            ,izquierda            ,6             ,familia              ,coche                ,51            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,3             ,170           ,60            ,pasan                ,9             ,piso                 ,a pie                ,10            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,178           ,90            ,derecha              ,5             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,8             ,179           ,75            ,derecha              ,7             ,familia              ,coche                ,20            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,10            ,196           ,85            ,derecha              ,5             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,8             ,168           ,55            ,pasan                ,7             ,familia              ,a pie                ,27            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,9             ,155           ,45            ,derecha              ,1             ,familia              ,a pie                ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,8             ,168           ,56            ,centro               ,5             ,familia              ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,10            ,152           ,51            ,izquierda            ,6             ,otra                 ,t publico            ,50            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,191           ,86            ,centro               ,3             ,piso                 ,a pie                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,3             ,183           ,69            ,izquierda            ,8             ,familia              ,t publico            ,25            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,6             ,163           ,47            ,izquierda            ,7             ,familia              ,t publico            ,45            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,185           ,72            ,derecha              ,8             ,otra                 ,coche                ,10            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,2             ,192           ,77            ,pasan                ,3             ,piso                 ,coche                ,35            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,7             ,175           ,68            ,derecha              ,6             ,familia              ,                     ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,10            ,166           ,54            ,centro               ,5             ,familia              ,t publico            ,45            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,5             ,168           ,62            ,pasan                ,7             ,familia              ,coche                ,45            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,9             ,160           ,49            ,centro               ,4             ,otra                 ,a pie                ,30            ,                     ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,1             ,161           ,46            ,izquierda            ,3             ,piso                 ,a pie                ,30            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,6             ,173           ,78            ,derecha              ,1             ,piso                 ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,22            ,7             ,158           ,56            ,izquierda            ,5             ,piso                 ,a pie                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,195           ,84            ,izquierda            ,7             ,residencia           ,a pie                ,16            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,3             ,185           ,79            ,pasan                ,8             ,residencia           ,a pie                ,15            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,170           ,56            ,pasan                ,7             ,familia              ,t publico            ,60            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,7             ,173           ,81            ,derecha              ,4             ,familia              ,coche                ,8             ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,27            ,4             ,183           ,66            ,izquierda            ,7             ,familia              ,a pie                ,24            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,6             ,167           ,60            ,centro               ,9             ,piso                 ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,3             ,172           ,70            ,pasan                ,7             ,piso                 ,a pie                ,9             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,3             ,167           ,61            ,pasan                ,7             ,otra                 ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,1             ,174           ,63            ,derecha              ,1             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,173           ,66            ,derecha              ,7             ,familia              ,compańero            ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,12            ,174           ,63            ,                     ,8             ,residencia           ,a pie                ,20            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,5             ,169           ,75            ,centro               ,7             ,piso                 ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,178           ,56            ,izquierda            ,9             ,piso                 ,a pie                ,13            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,179           ,63            ,                     ,5             ,piso                 ,a pie                ,12            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,4             ,178           ,58            ,izquierda            ,7             ,familia              ,coche                ,60            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,186           ,84            ,izquierda            ,3             ,familia              ,t publico            ,30            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,4             ,174           ,72            ,derecha              ,3             ,familia              ,coche                ,25            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,7             ,174           ,64            ,pasan                ,8             ,otra                 ,a pie                ,5             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,2             ,172           ,59            ,pasan                ,2             ,familia              ,t publico            ,55            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,6             ,180           ,66            ,derecha              ,1             ,familia              ,coche                ,40            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,8             ,180           ,62            ,pasan                ,3             ,residencia           ,a pie                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,6             ,176           ,80            ,derecha              ,8             ,familia              ,coche                ,40            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,9             ,176           ,74            ,derecha              ,6             ,piso                 ,coche                ,10            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,175           ,77            ,pasan                ,9             ,residencia           ,coche                ,15            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,4             ,186           ,73            ,centro               ,7             ,otra                 ,moto/bici            ,8             ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,12            ,183           ,74            ,derecha              ,5             ,familia              ,coche                ,30            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,5             ,175           ,77            ,izquierda            ,7             ,familia              ,coche                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,9             ,180           ,90            ,centro               ,7             ,piso                 ,a pie                ,15            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,12            ,180           ,60            ,pasan                ,0             ,piso                 ,coche                ,4             ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,3             ,163           ,60            ,centro               ,6             ,residencia           ,t publico            ,20            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,4             ,164           ,55            ,derecha              ,3             ,familia              ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,180           ,64            ,izquierda            ,4             ,familia              ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,4             ,165           ,61            ,derecha              ,2             ,familia              ,t publico            ,30            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,24            ,12            ,172           ,89            ,izquierda            ,1             ,piso                 ,                     ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,9             ,174           ,80            ,derecha              ,7             ,familia              ,coche                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,25            ,8             ,170           ,67            ,pasan                ,5             ,piso                 ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,2             ,160           ,64            ,derecha              ,8             ,otra                 ,t publico            ,45            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,20            ,4             ,158           ,54            ,pasan                ,2             ,familia              ,t publico            ,40            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,9             ,163           ,56            ,centro               ,3             ,familia              ,t publico            ,45            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,25            ,7             ,174           ,77            ,derecha              ,2             ,otra                 ,t publico            ,45            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,178           ,73            ,pasan                ,7             ,familia              ,t publico            ,60            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,19            ,12            ,167           ,53            ,centro               ,8             ,familia              ,coche                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,11            ,174           ,65            ,pasan                ,5             ,familia              ,moto/bici            ,20            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,12            ,172           ,66            ,pasan                ,4             ,familia              ,moto/bici            ,30            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,10            ,174           ,74            ,pasan                ,7             ,piso                 ,a pie                ,6             ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,9             ,178           ,69            ,izquierda            ,7             ,otra                 ,t publico            ,45            ,                     ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,23            ,9             ,165           ,55            ,pasan                ,2             ,familia              ,moto/bici            ,35            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,8             ,175           ,67            ,pasan                ,4             ,familia              ,a pie                ,25            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,19            ,12            ,175           ,65            ,centro               ,3             ,piso                 ,a pie                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
